company_id,industry
4713,chemical manufacturing
73024,real estate
1776620,retail luxury goods and jewelry
29602,biotechnology research
34580,higher education
18253260,hospitality
1594436,hospitals and health care
71578611,law practice
932155,advertising services
2627812,it services and it consulting
164527,truck transportation
1856927,retail
70397516,staffing and recruiting
729369,staffing and recruiting
5128510,restaurants
15034,hospitality
11498706,machinery manufacturing
19263,software development
164423,software development
3743,accounting
96952592,financial services
24649,it services and it consulting
18348748,personal care product manufacturing
33125878,it services and it consulting
90411209,wellness and fitness services
744453,it services and it consulting
27320,education administration programs
1798546,wellness and fitness services
1340385,hospitals and health care
14668517,software development
1176781,"appliances, electrical, and electronics manufacturing"
3031014,staffing and recruiting
1799,staffing and recruiting
35545064,facilities services
86749409,hospitality
4851811,semiconductor manufacturing
102847,it services and it consulting
1953635,software development
21784,it services and it consulting
5670,manufacturing
67029,research services
35505451,motor vehicle manufacturing
89780395,it services and it consulting
18528449,government administration
123361,software development
938659,"appliances, electrical, and electronics manufacturing"
2382910,it services and it consulting
13188,non-profit organizations
266094,staffing and recruiting
41549,construction
101723854,advertising services
100153092,staffing and recruiting
12861,it services and it consulting
1367563,insurance
7147,civil engineering
105309,financial services
41754,staffing and recruiting
822408,higher education
2018147,consumer services
35478397,"museums, historical sites, and zoos"
937112,retail apparel and fashion
164731,wellness and fitness services
78601632,software development
2180226,government relations services
23063,spectator sports
26231,insurance
18106243,it services and it consulting
908087,financial services
1382996,financial services
2562,chemical manufacturing
1038,business consulting and services
13550,accounting
12215,insurance
3326615,it services and it consulting
798828,advertising services
1586,software development
14967,software development
1463851,staffing and recruiting
162752,machinery manufacturing
11364936,hospitality
70572177,financial services
4839544,motor vehicle manufacturing
69248309,staffing and recruiting
100834384,entertainment providers
28934351,law practice
13637042,it services and it consulting
166512,facilities services
66348854,advertising services
311559,hospitals and health care
14632005,staffing and recruiting
14594141,staffing and recruiting
3309820,entertainment providers
224173,civil engineering
1072533,gambling facilities and casinos
6486571,education administration programs
1283,it services and it consulting
27292,staffing and recruiting
24629,software development
12931,wellness and fitness services
20466,book and periodical publishing
208137,computers and electronics manufacturing
947715,it services and it consulting
256744,entertainment providers
35298,telecommunications
1089558,staffing and recruiting
85570,design services
84994,"appliances, electrical, and electronics manufacturing"
13684,banking
60813588,law practice
1207,hospitals and health care
907307,software development
23375,hospitals and health care
11325362,staffing and recruiting
121082,manufacturing
80695222,staffing and recruiting
3009236,airlines and aviation
10269477,food and beverage services
4797977,outsourcing and offshoring consulting
70121,wellness and fitness services
60059619,food and beverage services
7532,civil engineering
11140,retail apparel and fashion
2622,machinery manufacturing
905282,truck transportation
1300309,retail
69067,food and beverage manufacturing
162912,pharmaceutical manufacturing
82153,construction
81899221,business consulting and services
2204084,software development
6796686,retail
28827541,food and beverage services
695193,it services and it consulting
33218437,hospitals and health care
3958522,wholesale building materials
150419,it services and it consulting
82863388,insurance
37516,civil engineering
74519793,it services and it consulting
889902,it services and it consulting
7952,hospitals and health care
1915627,education administration programs
61400,staffing and recruiting
5128,financial services
33522126,real estate
373159,it services and it consulting
4191,media production
71956779,travel arrangements
1300194,mining
10638094,business consulting and services
81878,motor vehicle manufacturing
37900,government administration
92576702,primary and secondary education
415984,financial services
1929,human resources services
40699669,hospitals and health care
20700,retail apparel and fashion
15212661,staffing and recruiting
37897932,hospitality
10466334,staffing and recruiting
503757,insurance
76267845,it services and it consulting
65706971,financial services
79760947,it services and it consulting
134081,retail
4928,consumer services
92537629,financial services
39978,human resources services
62589,hospitals and health care
72332830,staffing and recruiting
26083,computer hardware manufacturing
6432276,construction
79009037,manufacturing
11198806,government administration
787339,government administration
162563,it services and it consulting
1133633,hospitals and health care
27342,staffing and recruiting
5968,wholesale building materials
2627350,hospitality
55167,banking
56728,personal care product manufacturing
34821,individual and family services
888055,media production
164008,software development
59424667,wellness and fitness services
2918,retail
63696,"appliances, electrical, and electronics manufacturing"
62370,hospitals and health care
35475885,staffing and recruiting
103841,staffing and recruiting
126432,hospitality
5579526,hospitals and health care
27033415,education administration programs
137616,advertising services
8455,banking
27227384,hospitality
117413,hospitality
59803,non-profit organizations
52950123,food and beverage services
1043063,law practice
79335544,"technology, information and internet"
10104312,government relations services
1447520,computers and electronics manufacturing
41088,biotechnology research
1027869,staffing and recruiting
110815,civil engineering
139026,travel arrangements
2288802,pharmaceutical manufacturing
16187169,entertainment providers
69940169,real estate
31464352,software development
57449517,real estate
47153,higher education
95045440,it services and it consulting
82824381,non-profit organizations
42111520,government administration
15211132,software development
2624,higher education
10489655,hospitals and health care
4914,retail
7322732,recreational facilities
2213829,staffing and recruiting
25452,computer and network security
165938,hospitals and health care
3241161,artists and writers
756621,wholesale building materials
401896,entertainment providers
10159385,staffing and recruiting
11268368,manufacturing
250820,it services and it consulting
2168893,staffing and recruiting
1379045,it services and it consulting
106584,it services and it consulting
8503,hospitality
89875487,consumer services
56585682,medical practices
605130,software development
10754,biotechnology research
7131,book and periodical publishing
4867,higher education
166030,it services and it consulting
1444016,staffing and recruiting
52047,it services and it consulting
43816,non-profit organizations
3728344,software development
1408094,utilities
37573542,human resources services
18477,advertising services
1360,it services and it consulting
2485931,construction
